Time,TimeStep,Iteration,Total_Iterations,Max_Velocity_Error,Max_Pressure_Error,CNN_Used,CNN_Active
  3.6303663E-01,    226,      1,    465,  9.7338305E-05,  2.7631586E-10,0,1
  3.6396916E-01,    227,      1,    467,  9.7755767E-05,  1.9132784E-10,0,1
  3.6490169E-01,    228,      1,    469,  9.8169454E-05,  2.2593127E-10,0,1
  3.6583422E-01,    229,      1,    471,  9.8580501E-05,  2.1914581E-10,0,1
  3.6676675E-01,    230,      1,    473,  9.8990499E-05,  2.0368547E-10,0,1
  3.6769928E-01,    231,      1,    475,  9.9401270E-05,  2.6359004E-10,0,1
  3.6863181E-01,    232,      1,    477,  9.9814647E-05,  2.3055691E-10,0,1
  3.6956434E-01,    233,      1,    479,  1.0023227E-04,  2.1509905E-10,0,1
  3.7049687E-01,    234,      1,    481,  1.0065542E-04,  2.1947155E-10,0,1
  3.7142940E-01,    235,      1,    483,  1.0108493E-04,  2.0252577E-10,0,1
  3.7236193E-01,    236,      1,    485,  1.0152116E-04,  2.1827873E-10,0,1
  3.7329446E-01,    237,      1,    487,  1.0196399E-04,  2.1435520E-10,0,1
  3.7422699E-01,    238,      1,    489,  1.0241293E-04,  2.1902213E-10,0,1
  3.7515952E-01,    239,      1,    491,  1.0286721E-04,  2.4940050E-10,0,1
  3.7609205E-01,    240,      1,    493,  1.0332594E-04,  2.1867663E-10,0,1
  3.7702457E-01,    241,      1,    495,  1.0378822E-04,  2.0783197E-10,0,1
  3.7795710E-01,    242,      1,    497,  1.0425327E-04,  2.0850222E-10,0,1
  3.7888963E-01,    243,      1,    499,  1.0472055E-04,  2.2508971E-10,0,1
  3.7982216E-01,    244,      1,    501,  1.0518978E-04,  2.1609026E-10,0,1
  3.8075469E-01,    245,      1,    503,  1.0566100E-04,  2.3544432E-10,0,1
  3.8168722E-01,    246,      1,    505,  1.0613455E-04,  2.1778745E-10,0,1
  3.8261975E-01,    247,      1,    507,  1.0661099E-04,  2.3606361E-10,0,1
  3.8345768E-01,    248,      1,    510,  9.6459412E-05,  2.2440071E-10,0,1
  3.8429561E-01,    249,      1,    512,  9.6323803E-05,  2.1702606E-10,0,1
  3.8513354E-01,    250,      1,    514,  9.6455618E-05,  1.9471696E-10,0,1
  3.8597147E-01,    251,      1,    516,  9.6670440E-05,  1.9804247E-10,0,1
  3.8680940E-01,    252,      1,    518,  9.6968845E-05,  2.1736740E-10,0,1
  3.8764733E-01,    253,      1,    520,  9.7344059E-05,  2.3371483E-10,0,1
  3.8848526E-01,    254,      1,    522,  9.7782915E-05,  2.0826896E-10,0,1
  3.8932319E-01,    255,      1,    524,  9.8269668E-05,  2.3208102E-10,0,1
  3.9016112E-01,    256,      1,    526,  9.8788427E-05,  2.1828672E-10,0,1
  3.9099905E-01,    257,      1,    528,  9.9324452E-05,  1.9229907E-10,0,1
  3.9183697E-01,    258,      1,    530,  9.9864795E-05,  2.3500657E-10,0,1
  3.9267490E-01,    259,      1,    532,  1.0039865E-04,  2.2846294E-10,0,1
  3.9351283E-01,    260,      1,    534,  1.0091762E-04,  2.0690649E-10,0,1
  3.9435076E-01,    261,      1,    536,  1.0141597E-04,  2.4173108E-10,0,1
  3.9518869E-01,    262,      1,    538,  1.0189081E-04,  2.0458923E-10,0,1
  3.9602662E-01,    263,      1,    540,  1.0234210E-04,  2.1179858E-10,0,1
  3.9686455E-01,    264,      1,    542,  1.0277255E-04,  2.2737368E-10,0,1
  3.9770248E-01,    265,      1,    544,  1.0318720E-04,  1.9564084E-10,0,1
  3.9854041E-01,    266,      1,    546,  1.0359291E-04,  2.3324209E-10,0,1
  3.9937834E-01,    267,      1,    548,  1.0399758E-04,  2.1759661E-10,0,1
  4.0021627E-01,    268,      1,    550,  1.0440937E-04,  2.0497071E-10,0,1
  4.0105419E-01,    269,      1,    552,  1.0483589E-04,  2.0171598E-10,0,1
  4.0189212E-01,    270,      1,    554,  1.0528342E-04,  2.0235125E-10,0,1
  4.0273005E-01,    271,      1,    556,  1.0575637E-04,  2.1645974E-10,0,1
  4.0356798E-01,    272,      1,    558,  1.0625688E-04,  2.0054358E-10,0,1
  4.0440591E-01,    273,      1,    560,  1.0678476E-04,  2.4157787E-10,0,1
  4.0524384E-01,    274,      1,    562,  1.0733764E-04,  1.9337371E-10,0,1
  4.0608177E-01,    275,      1,    564,  1.0791141E-04,  2.1367219E-10,0,1
  4.0691970E-01,    276,      1,    566,  1.0850079E-04,  2.3530443E-10,0,1
  4.0775763E-01,    277,      1,    568,  1.0910010E-04,  2.1614266E-10,0,1
  4.0859556E-01,    278,      1,    570,  1.0970395E-04,  2.0580662E-10,0,1
  4.0943349E-01,    279,      1,    572,  1.1030790E-04,  2.3426494E-10,0,1
  4.1027142E-01,    280,      1,    574,  1.1090898E-04,  2.3410252E-10,0,1
  4.1110934E-01,    281,      1,    576,  1.1150592E-04,  1.9428725E-10,0,1
  4.1194727E-01,    282,      1,    578,  1.1209924E-04,  2.6088998E-10,0,1
  4.1278520E-01,    283,      1,    580,  1.1269099E-04,  2.0436142E-10,0,1
  4.1362313E-01,    284,      1,    582,  1.1328441E-04,  2.0435209E-10,0,1
  4.1446106E-01,    285,      1,    584,  1.1388342E-04,  1.9412738E-10,0,1
  4.1529899E-01,    286,      1,    586,  1.1449205E-04,  1.9876945E-10,0,1
  4.1613692E-01,    287,      1,    588,  1.1511397E-04,  2.0643887E-10,0,1
  4.1697485E-01,    288,      1,    590,  1.1575205E-04,  2.4829205E-10,0,1
  4.1781278E-01,    289,      1,    592,  1.1640810E-04,  2.2066615E-10,0,1
  4.1865071E-01,    290,      1,    594,  1.1708277E-04,  2.2780799E-10,0,1
  4.1948864E-01,    291,      1,    596,  1.1777557E-04,  2.2107915E-10,0,1
  4.2032656E-01,    292,      1,    598,  1.1848507E-04,  2.3101121E-10,0,1
  4.2116449E-01,    293,      1,    600,  1.1920918E-04,  2.2032509E-10,0,1
  4.2200242E-01,    294,      1,    602,  1.1994542E-04,  2.4526023E-10,0,1
  4.2284035E-01,    295,      1,    604,  1.2069125E-04,  2.0083091E-10,0,1
  4.2367828E-01,    296,      1,    606,  1.2144438E-04,  2.0463631E-10,0,1
  4.2451621E-01,    297,      1,    608,  1.2220293E-04,  2.1903057E-10,0,1
  4.2535414E-01,    298,      1,    610,  1.2296559E-04,  2.1593460E-10,0,1
  4.2619207E-01,    299,      1,    612,  1.2373164E-04,  2.2287727E-10,0,1
  4.2703000E-01,    300,      1,    614,  1.2450095E-04,  2.1755531E-10,0,1
  4.2786793E-01,    301,      1,    616,  1.2527386E-04,  2.2183144E-10,0,1
  4.2870586E-01,    302,      1,    618,  1.2605103E-04,  2.2321700E-10,0,1
  4.2954379E-01,    303,      1,    620,  1.2683330E-04,  2.3965185E-10,0,1
  4.3038171E-01,    304,      1,    622,  1.2762149E-04,  2.4439117E-10,0,1
  4.3121964E-01,    305,      1,    624,  1.2841626E-04,  2.1654722E-10,0,1
  4.3205757E-01,    306,      1,    626,  1.2921797E-04,  2.1682617E-10,0,1
  4.3289550E-01,    307,      1,    628,  1.3002662E-04,  2.0475510E-10,0,1
  4.3373343E-01,    308,      1,    630,  1.3084178E-04,  2.2385271E-10,0,1
  4.3457136E-01,    309,      1,    632,  1.3166261E-04,  2.5280196E-10,0,1
  4.3540929E-01,    310,      1,    634,  1.3248794E-04,  2.3185542E-10,0,1
  4.3624722E-01,    311,      1,    636,  1.3331627E-04,  2.0699531E-10,0,1
  4.3708515E-01,    312,      1,    638,  1.3414595E-04,  2.1082580E-10,0,1
  4.3792308E-01,    313,      1,    640,  1.3497524E-04,  2.2335019E-10,0,1
